original,head
Labourers in building and woodworking trades,Elementary Occupations
Labourers in other construction trades n.e.c.,Elementary Occupations
Elementary Process Plant Occupations,Elementary Occupations
Labourers in foundries,Elementary Occupations
Industrial cleaning process occupations,Elementary Occupations
Printing machine minders and assistants,Elementary Occupations
"Packers, bottlers, canners, fillers",Elementary Occupations
Labourers in process and plant operations n.e.c.,Elementary Occupations
Elementary Goods Storage Occupations,Elementary Occupations
"Stevedores, dockers and slingers",Elementary Occupations
Other goods handling and storage occupations n.e.c.,Elementary Occupations
Elementary Administration And Service Occupations,Elementary Occupations
Elementary Administration Occupations,Elementary Occupations
"Postal workers, mail sorters, messengers, couriers",Elementary Occupations
Elementary office occupations n.e.c.,Elementary Occupations
Elementary Personal Services Occupations,Elementary Occupations
Hospital porters,Elementary Occupations
Hotel porters,Elementary Occupations
Kitchen and catering assistants,Elementary Occupations
"Waiters, waitresses",Elementary Occupations
Bar staff,Elementary Occupations
Leisure and theme park attendants,Elementary Occupations
Elementary personal services occupations n.e.c.,Elementary Occupations
Elementary Cleaning Occupations,Elementary Occupations
Window cleaners,Elementary Occupations
Road sweepers,Elementary Occupations
"Cleaners, domestics",Elementary Occupations
"Launderers, dry cleaners, pressers",Elementary Occupations
Refuse and salvage occupations,Elementary Occupations
Elementary cleaning occupations n.e.c.,Elementary Occupations
Elementary Security Occupations,Elementary Occupations
Security guards and related occupations,Elementary Occupations
Traffic wardens,Elementary Occupations
School crossing patrol attendants,Elementary Occupations
School midday assistants,Elementary Occupations
Car park attendants,Elementary Occupations
Elementary security occupations n.e.c.,Elementary Occupations
Elementary Sales Occupations,Elementary Occupations
Shelf fillers,Elementary Occupations
Elementary sales occupations n.e.c.,Elementary Occupations
